date,match,WON,type,rating,promotion,event,participants
20.05.2018,BUSHI vs. Taiji Ishimori,***1/4,Singles,6.20,New Japan Pro Wrestling,NJPW Best Of The Super Junior XXV - Tag 3,"BUSHI, Taiji Ishimori"
12.08.2018,"Marty Scurll, Matt Jackson & Nick Jackson vs. Taiji Ishimori, Tama Tonga & Tanga Loa",***1/4,Six Man Tag Team,6.20,New Japan Pro Wrestling,NJPW G1 Climax 2018 - Tag 19,"Marty Scurll, Matt Jackson, Nick Jackson, Taiji Ishimori, Tama Tonga, Tanga Loa"
08.10.2018,"Bad Luck Fale, Taiji Ishimori, Tama Tonga & Tanga Loa vs. Chase Owens, Hangman Page, Matt Jackson & Nick Jackson",***1/4,Eight Man Tag Team,6.20,New Japan Pro Wrestling,NJPW King Of Pro-Wrestling 2018,"Bad Luck Fale, Taiji Ishimori, Tama Tonga, Tanga Loa, Chase Owens, Hangman Page, Matt Jackson, Nick Jackson"
15.09.2019,Drew Gulak vs. Humberto Carrillo vs. Lince Dorado,***1/2,Triple Threat,6.20,World Wrestling Entertainment,WWE Clash Of Champions 2019 Kickoff,"Drew Gulak, Humberto Carrillo, Lince Dorado"
03.07.2020,"El Desperado, Minoru Suzuki, Taichi & Zack Sabre Jr. vs. Gabriel Kidd, Hiroshi Tanahashi, Kota Ibushi & Yuji Nagata",***3/4,Eight Man Tag Team,6.20,New Japan Pro Wrestling,NJPW New Japan Cup 2020 - Tag 8,"El Desperado, Minoru Suzuki, Taichi, Zack Sabre Jr., Gabriel Kidd, Hiroshi Tanahashi, Kota Ibushi, Yuji Nagata"
08.01.2022,Dustin Rhodes vs. Sammy Guevara,***3/4,Singles,6.20,All Elite Wrestling,AEW Battle Of The Belts,"Dustin Rhodes, Sammy Guevara"
12.06.2005,Rhyno vs. Sabu,,Singles,6.19,World Wrestling Entertainment,NA,"Rhyno, Sabu"
08.08.2020,Himeka vs. Tam Nakano,,Singles,6.19,World Wonder Ring Stardom,NA,"Himeka, Tam Nakano"
18.11.2020,Ryusuke Taguchi vs. Taiji Ishimori,,Singles,6.19,New Japan Pro Wrestling,NA,"Ryusuke Taguchi, Taiji Ishimori"
23.11.2020,BUSHI vs. Robbie Eagles,,Singles,6.19,New Japan Pro Wrestling,NA,"BUSHI, Robbie Eagles"
30.11.2020,Elias  vs. Jeff Hardy,,Symphony Of Destruction,6.19,World Wrestling Entertainment,NA,"Elias, Jeff Hardy"
21.01.2021,Jinny vs. Kay Lee Ray,,Singles,6.19,World Wrestling Entertainment,NA,"Jinny, Kay Lee Ray"
28.02.2021,"Chris Brookes, Kazusada Higuchi & Yukio Sakaguchi vs. Hideki Okatani, Jun Akiyama & Makoto Oishi",,Six Man Tag Team,6.19,DDT Pro Wrestling,NA,"Chris Brookes, Kazusada Higuchi, Yukio Sakaguchi, Hideki Okatani, Jun Akiyama, Makoto Oishi"
07.03.2021,Kendo Kashin vs. Kenou,,Singles,6.19,Pro Wrestling NOAH,NA,"Kendo Kashin, Kenou"
11.09.2021,Mai Sakurai vs. Syuri,,Singles,6.19,World Wonder Ring Stardom,NA,"Mai Sakurai, Syuri"
