date,match,WON,type,rating,promotion,event,participants
04.01.2008,Bam Bam vs. Fantasy vs. Fire vs. Mascarita Dorada vs. Mini Mr. Aguila vs. Pequeno Damian 666 vs. Pequeno Halloween vs. Pequeno Warrior vs. Shockercito vs. Tzuki,,Torneo Cibernetico, ,Consejo Mundial De Lucha Libre,NA,"Bam Bam, Fantasy, Fire, Mascarita Dorada, Mini Mr. Aguila, Pequeno Damian 666, Pequeno Halloween, Pequeno Warrior, Shockercito, Tzuki"
27.01.2008,Averno & Mephisto vs. La Sombra  & Mistico,,Best Two Out Of Three Falls Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Averno, Mephisto, La Sombra, Mistico"
27.01.2008,Rey Hechicero vs. Valiente,,Best Two Out Of Three Falls, ,Wrestling In Mexiko - Freelance Shows,NA,"Rey Hechicero, Valiente"
01.02.2008,Atlantis & Ultimo Guerrero vs. Averno & Mephisto,,Best Two Out Of Three Falls Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Atlantis, Ultimo Guerrero, Averno, Mephisto"
21.03.2008,"Bam Bam, Mascarita Dorada & Tzuki vs. Fire, Pequeno Damian 666 & Pierrothito",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Bam Bam, Mascarita Dorada, Tzuki, Fire, Pequeno Damian 666, Pierrothito"
30.04.2008,"Averno, Mephisto & Perro Aguayo Jr. vs. Marco Corleone, Mistico & Shocker",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Averno, Mephisto, Perro Aguayo Jr., Marco Corleone, Mistico, Shocker"
09.05.2008,Diamante Negro vs. El Sagrado vs. Ephesto vs. Euforia vs. Flash   vs. La Mascara vs. La Sombra  vs. Loco Max vs. Mascara Purpura vs. Misterioso II vs. Mr. Aguila vs. Sangre Azteca vs. Stuka Jr. vs. Valiente vs. Virus vs. Volador Jr.,,Torneo Cibernetico, ,Consejo Mundial De Lucha Libre,NA,"Diamante Negro, El Sagrado, Ephesto, Euforia, Flash, La Mascara, La Sombra, Loco Max, Mascara Purpura, Misterioso II, Mr. Aguila, Sangre Azteca, Stuka Jr., Valiente, Virus, Volador Jr."
13.06.2008,Faby Apache vs. Mary Apache,,Singles, ,Asistencia Asesoria y Administracion,NA,"Faby Apache, Mary Apache"
24.07.2008,911  vs. Aeroman vs. AK47   vs. Arlequin  vs. Capitan Muerte vs. Cerebro Negro vs. Chico Che vs. Ciclon Negro  vs. Cocolores vs. Dr. Cerebro  vs. El Hijo del Cien Caras vs. El Hijo del Pierroth vs. El Hijo del Solitario vs. Fantasma de la Opera vs. Fenix   vs. Fierro vs. Freelance vs. Fuerza Guerrera vs. Gemelo Fantastico I vs. Gemelo Fantastico II vs. Goleador vs. Karloff Lagarde Jr. vs. Multifacetico  vs. Scorpio Jr. vs. Star Boy vs. Tinieblas Jr. vs. Trauma II vs. Ultraman Jr.  vs. Xibalba vs. Zumbido,,Rey Del Ring, ,International Wrestling Revolution Group,NA,"911, Aeroman, AK47, Arlequin, Capitan Muerte, Cerebro Negro, Chico Che, Cocolores, Dr. Cerebro, El Hijo del Cien Caras, El Hijo del Pierroth, El Hijo del Solitario, Fantasma de la Opera, Fierro, Freelance, Fuerza Guerrera, Gemelo Fantastico I, Gemelo Fantastico II, Goleador, Karloff Lagarde Jr., Multifacetico, Scorpio Jr., Star Boy, Tinieblas Jr., Trauma II, Ultraman Jr., Xibalba, Zumbido"
27.07.2008,Bam Bam vs. Pequeno Damian 666,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Bam Bam, Pequeno Damian 666"
17.08.2008,Bam Bam vs. Pequeno Damian 666,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Bam Bam, Pequeno Damian 666"
14.09.2008,Cynthia Moreno & El Oriental vs. Gran Apache & Mary Apache,,Tag Team, ,Asistencia Asesoria y Administracion,NA,"Cynthia Moreno, El Oriental, Gran Apache, Mary Apache"
09.10.2008,"911 , AK47   & Fierro vs. Freelance, Pegasso Xtreme & Rey Cometa",,Best Two Out Of Three Falls Six Man Tag Team, ,International Wrestling Revolution Group,NA,"911, AK47, Fierro, Freelance, Pegasso Xtreme, Rey Cometa"
17.10.2008,"911 , AK47   & Fierro vs. Freelance, Pegasso Xtreme & Rey Cometa",,Best Two Out Of Three Falls Six Man Tag Team, ,International Wrestling Revolution Group,NA,"911, AK47, Fierro, Freelance, Pegasso Xtreme, Rey Cometa"
31.10.2008,Cerebro Negro & Dr. Cerebro  vs. Gemelo Fantastico I & Gemelo Fantastico II,,Best Two Out Of Three Falls Tag Team, ,International Wrestling Revolution Group,NA,"Cerebro Negro, Dr. Cerebro, Gemelo Fantastico I, Gemelo Fantastico II"
14.11.2008,"La Mascara, Mascara Dorada & Valiente vs. Misterioso II, Sangre Azteca & Virus",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"La Mascara, Mascara Dorada, Valiente, Misterioso II, Sangre Azteca, Virus"
07.12.2008,Ephesto vs. La Sombra ,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Ephesto, La Sombra"
16.12.2008,Dragon Rojo Jr. vs. Sangre Azteca,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Dragon Rojo Jr., Sangre Azteca"
26.12.2008,"Averno, Damian El Terrible & El Texano Jr. vs. La Mascara, Mistico & Volador Jr.",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Averno, Damian El Terrible, El Texano Jr., La Mascara, Mistico, Volador Jr."
12.02.2011,"Daisuke Sekimoto, Ryuichi Kawakami & Yuji Okabayashi vs. Masashi Otani, Shinya Ishikawa & Yoshihito Sasaki",,Six Man Tag Team, ,Big Japan Pro-Wrestling,NA,"Daisuke Sekimoto, Ryuichi Kawakami, Yuji Okabayashi, Masashi Otani, Shinya Ishikawa, Yoshihito Sasaki"
12.02.2011,Abdullah Kobayashi vs. Masashi Takeda,,Open Finger Gloves Fluorescent Light Tubes Death, ,Big Japan Pro-Wrestling,NA,"Abdullah Kobayashi, Masashi Takeda"
19.09.2010,"Daisuke Sekimoto, Ryuichi Kawakami & Yoshihito Sasaki vs. Kazuki Hashimoto, Takumi Tsukamoto & Yuji Okabayashi",,Six Man Tag Team, ,Big Japan Pro-Wrestling,NA,"Daisuke Sekimoto, Ryuichi Kawakami, Yoshihito Sasaki, Kazuki Hashimoto, Takumi Tsukamoto, Yuji Okabayashi"
16.01.2009,Averno & Mephisto vs. La Sombra  & Volador Jr.,,Best Two Out Of Three Falls Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Averno, Mephisto, La Sombra, Volador Jr."
19.01.2009,La Sombra  vs. Mephisto,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"La Sombra, Mephisto"
17.09.1987,"Akira Maeda, Nobuhiko Takada, Riki Choshu, Super Strong Machine & Tatsumi Fujinami vs. Antonio Inoki, Dick Murdoch, Masa Saito, Seiji Sakaguchi & Yoshiaki Fujiwara",,Ten Man Tag Team Elimination, ,New Japan Pro Wrestling,NA,"Akira Maeda, Nobuhiko Takada, Riki Choshu, Super Strong Machine, Tatsumi Fujinami, Antonio Inoki, Dick Murdoch, Masa Saito, Seiji Sakaguchi, Yoshiaki Fujiwara"
26.01.2009,"Asturiano, Black Tiger      & Centella de Oro vs. Espiritu Maligno, Fuerza Chicana & Siky Osama Jr.",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Asturiano, Black Tiger, Centella de Oro, Espiritu Maligno, Fuerza Chicana, Siky Osama Jr."
03.02.2009,"Black Warrior, Dragon Rojo Jr. & Sangre Azteca vs. El Sagrado, La Sombra  & Volador Jr.",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Black Warrior, Dragon Rojo Jr., Sangre Azteca, El Sagrado, La Sombra, Volador Jr."
06.02.2009,"Bam Bam, Mascarita Dorada & Shockercito vs. Pequeno Violencia, Pequeno Warrior & Pierrothito",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Bam Bam, Mascarita Dorada, Shockercito, Pequeno Violencia, Pequeno Warrior, Pierrothito"
15.02.2009,"Aero Star, El Angel, El Gato Eveready & Laredo Kid vs. Billy Boy, Rio Bravo, Tigre Cota & Tito Santana ",,Six Man Tag Team, ,Asistencia Asesoria y Administracion,NA,"Aero Star, El Angel, El Gato Eveready, Laredo Kid, Billy Boy, Rio Bravo, Tigre Cota, Tito Santana"
02.03.2009,Marcela vs. Princesa Blanca,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Marcela, Princesa Blanca"
20.03.2009,Mistico vs. Negro Casas,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Mistico, Negro Casas"
03.04.2009,Valiente vs. Virus,,Lightning, ,Consejo Mundial De Lucha Libre,NA,"Valiente, Virus"
07.04.2009,Angel Azteca Jr. vs. Angel de Oro vs. Angel de Plata   vs. Inquisidor vs. Mascara Dorada vs. Pegasso vs. Polvora vs. Rey Cometa vs. Super Comando vs. Tiger Kid,,Torneo Cibernetico, ,Consejo Mundial De Lucha Libre,NA,"Angel Azteca Jr., Angel de Oro, Angel de Plata, Inquisidor, Mascara Dorada, Pegasso, Polvora, Rey Cometa, Super Comando, Tiger Kid"
12.04.2009,Mistico vs. Negro Casas,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Mistico, Negro Casas"
16.04.2009,"Black Terry, Cerebro Negro & Dr. Cerebro  vs. Negro Navarro, Trauma I & Trauma II",,Best Two Out Of Three Falls Six Man Tag Team, ,International Wrestling Revolution Group,NA,"Black Terry, Cerebro Negro, Dr. Cerebro, Negro Navarro, Trauma I, Trauma II"
02.06.2009,"Felino, Mr. Niebla & Negro Casas vs. La Mascara, La Sombra  & Mistico",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Felino, Mr. Niebla, Negro Casas, La Mascara, La Sombra, Mistico"
18.06.2009,Trauma II vs. Zatura,,Best Two Out Of Three Falls, ,International Wrestling Revolution Group,NA,"Trauma II, Zatura"
26.07.2009,Celestial & Mini Talisman vs. Mini Mr. Aguila & Pequeno Halloween,,Best Two Out Of Three Falls Tag Team, ,Los Perros Del Mal,NA,"Celestial, Mini Mr. Aguila, Pequeno Halloween"
04.12.2009,Ephesto & Mephisto vs. La Sombra  & Volador Jr.,,Best Two Out Of Three Falls Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Ephesto, Mephisto, La Sombra, Volador Jr."
10.03.2007,Davey Richards vs. El Generico,,Singles, ,Pro Wrestling Guerrilla,NA,"Davey Richards, El Generico"
21.05.2011,James Mason vs. John Kay,,Singles, ,Catch Wrestling Norddeutschland,NA,"James Mason, John Kay"
07.06.2011,Davey Richards vs. Koji Kanemoto,,Singles, ,New Japan Pro Wrestling,NA,"Davey Richards, Koji Kanemoto"
07.06.2011,KUSHIDA vs. Ryusuke Taguchi,,Singles, ,New Japan Pro Wrestling,NA,"KUSHIDA, Ryusuke Taguchi"
11.02.2010,Billy Ken Kid vs. Dick Togo,,No Disqualification, ,Osaka Pro Wrestling,NA,"Billy Ken Kid, Dick Togo"
03.07.2011,Giant Bernard & Karl Anderson vs. Hirooki Goto & Hiroshi Tanahashi,,Tag Team, ,New Japan Pro Wrestling,NA,"Giant Bernard, Karl Anderson, Hirooki Goto, Hiroshi Tanahashi"
02.08.2011,Satoshi Kojima vs. Shinsuke Nakamura,,Singles, ,New Japan Pro Wrestling,NA,"Satoshi Kojima, Shinsuke Nakamura"
08.08.2011,Hirooki Goto vs. Minoru Suzuki,,Singles, ,New Japan Pro Wrestling,NA,"Hirooki Goto, Minoru Suzuki"
27.06.2004,B-Boy vs. Mike Quackenbush,,Singles, ,Jersey Championship Wrestling,NA,"B-Boy, Mike Quackenbush"
20.08.2011,"Hiroshi Yamato, KAI, Manabu Soya, Seiya Sanada & Taiyo Kea vs. Kaz Hayashi, Masakatsu Funaki, Minoru, Shuji Kondo & Suwama",,Captain's Fall Ten Man Tag Team, ,All Japan Pro Wrestling,NA,"Hiroshi Yamato, KAI, Manabu Soya, Seiya Sanada, Taiyo Kea, Kaz Hayashi, Masakatsu Funaki, Minoru, Shuji Kondo, Suwama"
14.05.2011,BxB Hulk vs. Naruki Doi,,Singles, ,Dragon Gate,NA,"BxB Hulk, Naruki Doi"
19.02.1994,Chris Benoit vs. Sabu,,Singles, ,National Wrestling Alliance Championship Wrestling America,NA,"Chris Benoit, Sabu"
18.06.2011,"BxB Hulk, CIMA & Naruki Doi vs. Gamma, Masato Yoshino & YAMATO",,Six Man Tag Team, ,Dragon Gate,NA,"BxB Hulk, CIMA, Naruki Doi, Gamma, Masato Yoshino, YAMATO"
13.08.2011,Fit Finlay vs. Jon Ryan,,Singles, ,Westside Xtreme Wrestling,NA,"Fit Finlay, Jon Ryan"
22.04.2007,Cheerleader Melissa vs. Wesna,,Singles, ,ChickFight,NA,"Cheerleader Melissa, Wesna"
31.10.2011,Giant Bernard & Karl Anderson vs. Go Shiozaki & Shuhei Taniguchi,,Tag Team, ,Pro Wrestling NOAH,NA,"Giant Bernard, Karl Anderson, Go Shiozaki, Shuhei Taniguchi"
02.01.2011,"Angel de Oro, Diamante   & Rush    vs. El Sagrado, Metal Blanco & Palacio Negro",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Angel de Oro, Diamante, Rush, El Sagrado, Metal Blanco, Palacio Negro"
25.01.2011,La Amapola vs. Marcela,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"La Amapola, Marcela"
13.03.2011,La Sombra  vs. Mephisto,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"La Sombra, Mephisto"
20.04.2011,"Atomic Boy, Fenix    & Relampago    vs. Dark Dragon , Tigre Cota & Tito Santana ",,Six Man Tag Team, ,Asistencia Asesoria y Administracion,NA,"Atomic Boy, Fenix, Relampago, Dark Dragon, Tigre Cota, Tito Santana"
20.04.2011,"Chessman, Silver Cain & Ultimo Gladiador vs. Electroshock, Extreme Tiger & Jack Evans",,Six Man Tag Team, ,Asistencia Asesoria y Administracion,NA,"Chessman, Silver Cain, Ultimo Gladiador, Electroshock, Extreme Tiger, Jack Evans"
12.06.2011,"Daisuke Sekimoto, Yuji Nagata & Yuji Okabayashi vs. Manabu Soya, Seiya Sanada & Suwama",,Six Man Tag Team, ,All Japan Pro Wrestling,NA,"Daisuke Sekimoto, Yuji Nagata, Yuji Okabayashi, Manabu Soya, Seiya Sanada, Suwama"
31.07.2011,Daga vs. Mike Segura,,Singles, ,International Wrestling League,NA,"Daga, Mike Segura"
29.04.2011,Hirooki Goto vs. Ultimo Guerrero,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Hirooki Goto, Ultimo Guerrero"
11.09.2010,BxB Hulk & Naruki Doi vs. SHINGO & YAMATO,,Tag Team, ,Dragon Gate,NA,"BxB Hulk, Naruki Doi, SHINGO, YAMATO"
11.09.2010,CIMA & Dragon Kid vs. Mark Haskins & PAC,,Tag Team, ,Dragon Gate,NA,"CIMA, Dragon Kid, Mark Haskins, PAC"
13.12.1990,Kengo Kimura & Tatsumi Fujinami vs. Osamu Kido & Riki Choshu,,Tag Team, ,New Japan Pro Wrestling,NA,"Kengo Kimura, Tatsumi Fujinami, Osamu Kido, Riki Choshu"
11.06.1992,"Headhunter A, Headhunter B, Mr. Pogo & Super Invader  vs. Hiroshi Shimada, Jason The Terrible , Masaru Toi & Mitsuteru Tokuda",,Eight Man Tag Team Elimination, ,Wrestling International New Generations,NA,"Headhunter A, Headhunter B, Mr. Pogo, Hiroshi Shimada, Jason The Terrible, Masaru Toi, Mitsuteru Tokuda"
12.06.1996,"BADBOY Hido, Hideki Hosaka & WING Kanemura vs. Koji Nakagawa, Masato Tanaka & Tetsuhiro Kuroda",,Six Man Tag Team Street Fight, ,Wrestling International New Generations,NA,"BADBOY Hido, Hideki Hosaka, WING Kanemura, Koji Nakagawa, Masato Tanaka, Tetsuhiro Kuroda"
01.03.2008,BJ Whitmer vs. Jimmy Jacobs,,I Quit, ,IWA Mid-South,NA,"BJ Whitmer, Jimmy Jacobs"
05.11.2011,Chris Colen vs. Murat Bosporus,,Falls Count Anywhere, ,German Stampede Wrestling,NA,"Chris Colen, Murat Bosporus"
01.01.2012,Daisuke Sekimoto vs. Kohei Sato,,Singles, ,Pro Wrestling ZERO1,NA,"Daisuke Sekimoto, Kohei Sato"
18.12.2011,Aja Kong & Carlos Amano vs. Ayumi Kurihara & Mayumi Ozaki,,Tag Team, ,OZ Academy,NA,"Aja Kong, Carlos Amano, Ayumi Kurihara, Mayumi Ozaki"
18.12.2011,"AKINO, Sonoko Kato & Tomoka Nakagawa vs. Chikayo Nagashima, Hiroyo Matsumoto & Yumi Ohka",,Six Man Tag Team, ,OZ Academy,NA,"AKINO, Sonoko Kato, Tomoka Nakagawa, Chikayo Nagashima, Hiroyo Matsumoto, Yumi Ohka"
22.01.2012,Freddy Stahl vs. Karsten Beck,,Singles, ,Westside Xtreme Wrestling,NA,"Freddy Stahl, Karsten Beck"
28.04.1991,Hiro Saito & Super Strong Machine vs. Hiroshi Hase & Kensuke Sasaki,,Tag Team, ,New Japan Pro Wrestling,NA,"Hiro Saito, Super Strong Machine, Hiroshi Hase, Kensuke Sasaki"
24.03.2012,Daisuke Sekimoto vs. Sami Callihan,,Singles, ,Big Japan Pro-Wrestling,NA,"Daisuke Sekimoto, Sami Callihan"
10.06.1988,Kengo Kimura & Tatsumi Fujinami vs. Masa Saito & Riki Choshu,,Tag Team, ,New Japan Pro Wrestling,NA,"Kengo Kimura, Tatsumi Fujinami, Masa Saito, Riki Choshu"
26.04.2008,Cheerleader Melissa vs. Sarah Stock,,Singles, ,SHIMMER Women Athletes,NA,"Cheerleader Melissa, Sarah Stock"
25.07.1988,Antonio Inoki vs. Kengo Kimura,,Singles, ,New Japan Pro Wrestling,NA,"Antonio Inoki, Kengo Kimura"
05.12.1988,"Antonio Inoki, Kantaro Hoshino & Riki Choshu vs. Masa Saito, Seiji Sakaguchi & Tatsutoshi Goto",,Six Man Tag Team Elimination, ,New Japan Pro Wrestling,NA,"Antonio Inoki, Kantaro Hoshino, Riki Choshu, Masa Saito, Seiji Sakaguchi, Tatsutoshi Goto"
04.09.2012,Polvora vs. Titan      ,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Polvora, Titan"
08.07.2012,Masato Tanaka & Shinjiro Otani vs. Hiroyoshi Tenzan & Satoshi Kojima,,Tag Team, ,Pro Wrestling ZERO1,NA,"Hiroyoshi Tenzan, Satoshi Kojima, Masato Tanaka, Shinjiro Otani"
21.06.2011,El Hijo del Fantasma vs. Rey Bucanero,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"El Hijo del Fantasma, Rey Bucanero"
08.09.2012,Seiya Sanada vs. Yuji Okabayashi,,Singles, ,All Japan Pro Wrestling,NA,"Seiya Sanada, Yuji Okabayashi"
22.07.2012,Black Buffalo vs. Daisuke Harada,,Singles, ,Osaka Pro Wrestling,NA,"Black Buffalo, Daisuke Harada"
08.02.2015,Fuerza Guerrera vs. Negro Casas,,Best Two Out Of Three Falls, ,Lucha Libre Elite,NA,"Fuerza Guerrera, Negro Casas"
06.12.2012,"CIMA, Masato Yoshino, Naruki Doi & Ricochet vs. Genki Horiguchi HAGeeMee, Jimmy Susumu, Mr. Kyukyu Toyonaka Dolphin & Ryo Jimmy Saito",,Eight Man Tag Team, ,Dragon Gate,NA,"CIMA, Masato Yoshino, Naruki Doi, Ricochet, Genki Horiguchi HAGeeMee, Jimmy Susumu, Ryo Jimmy Saito"
20.12.2011,"Argenis, Atomic Boy & Fenix    vs. Dark Dragon , Tigre Cota & Tito Santana ",,Six Man Tag Team, ,Asistencia Asesoria y Administracion,NA,"Argenis, Atomic Boy, Fenix, Dark Dragon, Tigre Cota, Tito Santana"
13.01.2012,"La Mascara, La Sombra  & Mascara Dorada vs. Mr. Aguila, Psicosis  & Volador Jr.",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"La Mascara, La Sombra, Mascara Dorada, Mr. Aguila, Psicosis, Volador Jr."
31.01.2012,"Arkangel de la Muerte, Loco Max, Nitro  & Skandalo vs. Cancerbero, Euforia, Raziel  & Virus",,Torneo Cibernetico, ,Consejo Mundial De Lucha Libre,NA,"Arkangel de la Muerte, Loco Max, Nitro, Skandalo, Cancerbero, Euforia, Raziel, Virus"
03.02.2012,Angel de Oro vs. Delta vs. El Hijo del Signo vs. Euforia vs. Fuego    vs. Guerrero Maya Jr. vs. Mascara Dorada vs. Mr. Aguila vs. Polvora vs. Puma King vs. Raziel  vs. Rey Cometa vs. Rey Escorpion  vs. Stuka Jr. vs. Tiger      vs. Titan       vs. Valiente vs. Virus,,Torneo Cibernetico, ,Consejo Mundial De Lucha Libre,NA,"Angel de Oro, Delta, El Hijo del Signo, Euforia, Fuego, Guerrero Maya Jr., Mascara Dorada, Mr. Aguila, Polvora, Puma King, Raziel, Rey Cometa, Rey Escorpion, Stuka Jr., Tiger, Titan, Valiente, Virus"
02.03.2012,Ayumi vs. Marcela,,Lightning, ,Consejo Mundial De Lucha Libre,NA,"Ayumi, Marcela"
09.03.2012,Ayumi vs. Marcela,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Ayumi, Marcela"
11.03.2012,Dinastia & Octagoncito  vs. Mini Histeria & Mini Psicosis ,,Tag Team, ,Asistencia Asesoria y Administracion,NA,"Dinastia, Octagoncito, Mini Histeria, Mini Psicosis"
11.03.2012,"Argenis, Drago       & Fenix    vs. Argos  , Mortiz & Semental",,Six Man Tag Team, ,Asistencia Asesoria y Administracion,NA,"Argenis, Drago, Fenix, Argos, Mortiz, Semental"
24.04.2012,"Averno, Ephesto & Mephisto vs. Delta, Guerrero Maya Jr. & La Sombra ",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Averno, Ephesto, Mephisto, Delta, Guerrero Maya Jr., La Sombra"
14.09.2012,"Angel de Oro, La Sombra  & Titan       vs. Namajague, Okumura & Taichi",,Best Two Out Of Three Falls Six Man Tag Team, ,Consejo Mundial De Lucha Libre,NA,"Angel de Oro, La Sombra, Titan, Namajague, Okumura, Taichi"
14.09.2012,Puma King vs. Rey Cometa,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Puma King, Rey Cometa"
14.09.2012,Damian El Terrible vs. Rush   ,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"Damian El Terrible, Rush"
17.09.2012,La Amapola vs. Marcela,,Best Two Out Of Three Falls, ,Consejo Mundial De Lucha Libre,NA,"La Amapola, Marcela"
04.06.2021,Dustin Rhodes vs. Nick Comoroto,,Bullrope,5.11,All Elite Wrestling,NA,"Dustin Rhodes, Nick Comoroto"
21.06.2021,Karrion Kross vs. Shelton Benjamin,,Singles,5.11,World Wrestling Entertainment,NA,"Karrion Kross, Shelton Benjamin"
04.01.2022,Ikemen Jiro vs. Ru Feng,,Singles,5.11,World Wrestling Entertainment,NA,"Ikemen Jiro, Ru Feng"
16.03.1998,Chris Jericho vs. Juventud Guerrera,***1/2,Singles,5.11,World Championship Wrestling,WCW Monday NITRO #131 - Spring Break,"Chris Jericho, Juventud Guerrera"
21.10.2021,Bobby Lashley vs. Goldberg,***3/4,No Holds Barred Falls Count Anywhere,5.11,World Wrestling Entertainment,WWE Crown Jewel 2021,"Bobby Lashley, Goldberg"
23.10.2021,Chris Bey & Hikuleo vs. David Finlay & Juice Robinson vs. Doc Gallows & Karl Anderson,**1/4,Three Way,5.11,Impact Wrestling,Impact Wrestling Bound For Glory 2021,"Chris Bey, Hikuleo, David Finlay, Juice Robinson, Doc Gallows, Karl Anderson"
03.07.2020,"Andrade, Angel Garza & Randy Orton vs. Erik, Ivar & The Big Show",,Six Man Tag Team,5.10,World Wrestling Entertainment,NA,"Andrade, Angel Garza, Randy Orton, Erik, Ivar, The Big Show"
24.08.2020,Asuka vs. Sasha Banks,,Lumberjack,5.10,World Wrestling Entertainment,NA,"Asuka, Sasha Banks"
14.09.2020,Asuka vs. Mickie James,,Singles,5.10,World Wrestling Entertainment,NA,"Asuka, Mickie James"
03.10.2020,Brian Myers vs. Tommy Dreamer,,Singles,5.10,Impact Wrestling,NA,"Brian Myers, Tommy Dreamer"
26.11.2020,Isla Dawn vs. Jinny,,Singles,5.10,World Wrestling Entertainment,NA,"Isla Dawn, Jinny"
13.03.2021,"Bad Luck Fale, EVIL & Jay White vs. Hiroshi Tanahashi, Juice Robinson & Toa Henare",,Six Man Tag Team,5.10,New Japan Pro Wrestling,NA,"Bad Luck Fale, EVIL, Jay White, Hiroshi Tanahashi, Juice Robinson, Toa Henare"
17.05.2021,AJ Styles vs. Elias ,,Singles,5.10,World Wrestling Entertainment,NA,"AJ Styles, Elias"
01.07.2021,"DOUKI, El Desperado & Yoshinobu Kanemaru vs. El Phantasmo, Jado & Taiji Ishimori",,Six Man Tag Team,5.10,New Japan Pro Wrestling,NA,"DOUKI, El Desperado, Yoshinobu Kanemaru, El Phantasmo, Jado, Taiji Ishimori"
14.07.2021,Penelope Ford vs. Yuka Sakazaki,,Singles,5.10,All Elite Wrestling,NA,"Penelope Ford, Yuka Sakazaki"
28.08.2021,Mai Sakurai vs. Utami Hayashishita,,Singles,5.10,World Wonder Ring Stardom,NA,"Mai Sakurai, Utami Hayashishita"
03.09.2021,Angelo Dawkins & Montez Ford vs. Jey Uso & Jimmy Uso,,Tag Team,5.10,World Wrestling Entertainment,NA,"Angelo Dawkins, Montez Ford, Jey Uso, Jimmy Uso"
28.09.2021,Kyle O'Reilly vs. Ridge Holland,,Singles,5.10,World Wrestling Entertainment,NA,"Kyle O'Reilly, Ridge Holland"
17.09.2021,Chelsea Green vs. Renee Michelle,,Singles,5.10,Impact Wrestling,NA,"Chelsea Green, Renee Michelle"
20.01.2022,Great-O-Khan vs. Yuto Nakashima,,Singles,5.10,New Japan Pro Wrestling,NA,"Great-O-Khan, Yuto Nakashima"
27.09.2015,"AJ Styles, Cody Hall & Tama Tonga vs. Kazuchika Okada, Kazushi Sakuraba & Toru Yano",***1/4,Six Man Tag Team,5.10,New Japan Pro Wrestling,NJPW Destruction In Kobe 2015,"AJ Styles, Cody Hall, Tama Tonga, Kazuchika Okada, Kazushi Sakuraba, Toru Yano"
24.07.2016,Becky Lynch vs. Natalya,***1/4,Singles,5.10,World Wrestling Entertainment,WWE Battleground 2016,"Becky Lynch, Natalya"
25.09.2016,"Bad Luck Fale, Kenny Omega, Tama Tonga & Tanga Loa vs. Hirooki Goto, Jay Briscoe, Mark Briscoe & Tomohiro Ishii",***1/4,Eight Man Tag Team,5.10,New Japan Pro Wrestling,NJPW Destruction In Kobe 2016,"Bad Luck Fale, Kenny Omega, Tama Tonga, Tanga Loa, Hirooki Goto, Jay Briscoe, Mark Briscoe, Tomohiro Ishii"
23.09.2018,"David Finlay, Juice Robinson & Toa Henare vs. Jay White, Will Ospreay & YOSHI-HASHI",***1/2,Six Man Tag Team,5.10,New Japan Pro Wrestling,NJPW Destruction In Kobe 2018,"David Finlay, Juice Robinson, Toa Henare, Jay White, Will Ospreay, YOSHI-HASHI"
24.09.2020,Yota Tsuji vs. Yuya Uemura,***1/4,Singles,5.10,New Japan Pro Wrestling,NJPW G1 Climax 2020 - Tag 4,"Yota Tsuji, Yuya Uemura"
